source,destination,notes
https://dtfs.co/,https://shirt.co/services/dtf-transfers/,Homepage
https://dtfs.co/custom-dtf-transfers,https://shirt.co/services/dtf-transfers/,Main product page
https://dtfs.co/gang-sheet-printing,https://shirt.co/services/dtf-transfers/#print-shops,Gang sheets → print shop path
https://dtfs.co/bulk-wholesale-printing,https://shirt.co/services/dtf-transfers/#print-shops,Wholesale
https://dtfs.co/white-label-production,https://shirt.co/services/dtf-transfers/#print-shops,White-label
https://dtfs.co/dtf-gang-sheet-builder.html,https://shirt.co/get-a-quote/,Do not keep a public hobby builder
https://dtfs.co/how-it-works,https://shirt.co/services/dtf-transfers/,Process
https://dtfs.co/application-guide,https://shirt.co/services/dtf-transfers/,Press settings on new page
https://dtfs.co/artwork-requirement,https://shirt.co/services/dtf-transfers/,Art floor on new page
https://dtfs.co/artwork-setup-vectorization,https://shirt.co/get-a-quote/,Art help → quote
https://dtfs.co/faq,https://shirt.co/services/dtf-transfers/,FAQ moved
https://dtfs.co/about,https://shirt.co/,Company is Shirt.co
https://dtfs.co/about.html,https://shirt.co/,Empty Magento stub
https://dtfs.co/transfers.html,https://shirt.co/services/dtf-transfers/,Empty Magento stub
https://dtfs.co/what-we-do.html,https://shirt.co/,Empty Magento stub
https://dtfs.co/design-studio.html,https://shirt.co/get-a-quote/,Empty Magento stub
https://dtfs.co/get-a-quote.html,https://shirt.co/get-a-quote/,Empty Magento stub
https://dtfs.co/request-online-store.html,https://shirt.co/online-stores/,Empty Magento stub
https://dtfs.co/promo-products.html,https://shirt.co/services/promo-products/,Empty Magento stub
https://dtfs.co/test.html,https://shirt.co/services/dtf-transfers/,Test page was in the public sitemap
https://dtfs.co/return-policy,https://shirt.co/shirt-co-return-policy/,Use Shirt.co policy
https://dtfs.co/privacy-policy-cookie-restriction-mode,https://shirt.co/,Magento cookie policy
https://dtfs.co/blog,https://shirt.co/services/dtf-transfers/,Do not keep hobbyist blog as a brand
https://dtfs.co/blog.html,https://shirt.co/services/dtf-transfers/,
https://dtfs.co/customer/account/login,https://shirt.co/get-a-quote/,Kill Magento accounts
https://dtfs.co/checkout/cart/,https://shirt.co/get-a-quote/,Kill Magento cart
https://shirt.co/dtf-transfer/,https://shirt.co/services/dtf-transfers/,Duplicate Shirt.co DTF URL
https://shirt.co/,https://shirt.co/services/dtf-transfers/,Replace homepage Visit DTFs.co links (not a domain 301)
